IDENTIFIER,NAME,BARCODES,LENGTH,WIDTH,HEIGHT,WEIGHT,DIMENSION_UOM,WEIGHT_UOM
032076049775,WireGard 22-14 AWG,032076049775,96,76,75,0.158,mm,kg
037000809340,Prilosec,037000809340,122,96,62,0.068,mm,kg
038257759587,Hanes Cushioned Crew Socks,038257759587,282,234,95,0.496,mm,kg
041100820761,Dewy,041100820761,109,75,57,0.164,mm,kg
041333216010,Duracell 9V2 Batteries,041333216010,114,95,20,0.096,mm,kg
041457034095,Goody 17pcs PonyTails,041457034095,114,88,22,0.03,mm,kg
041520168245,SmartLiving AA 6-Pack Batteries,041520168245,114,91,29,0.152,mm,kg
043000012918,Crystal Light Raspberry Tea,043000012918,165,72,53,0.092,mm,kg
043000950654,Crystal Light Lemonande,043000950654,150,71,60,0.120,mm,kg
045299010538,spiderman briefs,045299010538,216,124,50,0.212,mm,kg
046000288697,Original Taco Seasoning Mix,046000288697,136,128,10,0.036,mm,kg
047475876471,Mystery Egg,047475876471,120,88,88,0.058,mm,kg
047701002704,Dentrek Floss Picks,047701002704,207,126,36,0.050,mm,kg
052200034750,Beech-Nut Oatmeal,052200034750,203,76,76,0.3,mm,kg
070798180017,DAP Kwik Seal Caulk,070798180017,242,59,40,0.270,mm,kg
070798184404,DAP Fast Dry Spackling,070798184404,106,98,98,0.286,mm,kg
071400026563,peds no slip heel,071400026563,246,86,30,0.05,mm,kg
075289580154,Maxithins Super,075289580154,242,174,93,0.282,mm,kg
076171601551,Little Trees 6-Pack,076171601551,189,75,25,0.042,mm,kg
076879010976,Tivoli Cookies,076879010976,142,142,57,0.252,mm,kg
079400067999,Dove Clean Comfort Antiperspirant,079400067999,88,53,27,0.032,mm,kg
082901189503,ACE Spackling Compound,082901189503,83,83,81,0.138,mm,kg
085239028643,Simply balanced raspberry hibiscus organic tea,085239028643,143,85,74,0.108,mm,kg
086600707778,Bumble Bee Tuna Salad Kit,086600707778,133,69,40,0.132,mm,kg
091093822457,Good 'n' Fun dog treats,091093822457,218,197,62,0.354,mm,kg
100000000000,Wooden Plank,100000000000,305,88,37,0.370,mm,kg
100000000001,Munkchin Sippy Cup,100000000001,111,109,80,0.124,mm,kg
100000000002,White Planetcord,100000000002,171,98,15,0.046,mm,kg
100000000003,Thera-Band Soft Weight,100000000003,111,10,108,1.5,mm,kg
100000000004,6lbs S&S Worldwide,100000000004,127,125,118,2.34,mm,kg
100000000005,Super Puffs,100000000005,209,83,82,0.106,mm,kg
100000000006,Elmer's School Glue,100000000006,146,61,29,0.142,mm,kg
100000000007,Winterlace Socks,100000000007,255,123,76,0.176,mm,kg
100000000015,Energizer AA Battery 8-Pack,100000000015,107,93,30,0.194,mm,kg
191205478449,TKO Yoga Pads,191205478449,224,196,57,0.188,mm,kg
193159106010,Marshalls Socks DC,193159106010,225,93,48,0.192,mm,kg
194587535625,AdrienneVittadini foot liners,194587535625,217,90,53,0.190,mm,kg
370030621941,Up&Up anitbiotic cream + pain relief,370030621941,113,85,24,0.04,mm,kg
381371150786,Flexible Fabric Band-Aid,381371150786,153,112,46,0.082,mm,kg
4535164008280,Askul Binder Clips,4535164008280,101,98,22,0.030,mm,kg
4560119974280,Baloons Express,4560119974280,196,154,30,0.028,mm,kg
4902704325501,Panasonic Linear light,4902704325501,207,46,26,0.06,mm,kg
4904323602643,NEC Fluoroscent lamp,4904323602643,350,20,30,0.07,mm,kg
4988787060034,Fiber Extension Mascara,4988787060034,132,131,45,0.036,mm,kg
642863102912,Greenies Dental Treats,642863102912,205,160,54,0.194,mm,kg
672935122579,Dr.Fresh 6 Pack Toothbrushes,672935122579,245,118,16,0.088,mm,kg
681131132428,Great Value 40w Bulb,681131132428,108,63,61,0.046,mm,kg
681131145640,Equate Soap Holder,681131145640,106,70,41,0.034,mm,kg
681131428064,Spring Valley Vitamin C,681131428064,112,57,57,0.118,mm,kg
681131699990,Equate Pain Reliever,681131699990,91,49,49,0.080,mm,kg
681131928823,Spring Valley Biotin,681131928823,85,44,44,0.0580,mm,kg
748378001143,Eco Style Gel,748378001143,100,94,93,0.49,mm,kg
802025011845,MeMoi Light Support Pantyhose,802025011845,225,180,22,0.102,mm,kg
812350162976,Turtle Wax Microfiber Sponge,812350162976,280,148,79,0.120,mm,kg
829696000800,Wild Planet Sardines,829696000800,110,63,33,0.160,mm,kg
840243122417,Tastefuls Cat Food,840243122417,240,225,120,2.322,mm,kg
884514586768,5 pack boy's briefs,884514586768,257,161,48,0.206,mm,kg
887961852844,minions figurine,887961852844,211,132,69,0.120,mm,kg
888670026427,Wellsley Farms Bouillon Cubes,888670026427,168,110,103,1.026,mm,kg
892992002847,eos lip balm,892992002847,126,75,44,0.03,mm,kg
B07G7WFKX8,REWEE Shower Handle,B07G7WFKX8,195,58,43,0.098,mm,kg
U92433479,American Eagle Denim Shirt,U92433479,330,296,57,0.324,mm,kg
X002OX64B1,Zyrtec Allergy,X002OX64B1,117,108,45,0.042,mm,kg
X00369313V,Molasus Briefs W/Hangar,X00369313V,369,213,60,0.418,mm,kg
012044037508,Old Spice Pure Sport Deodorant,012044037508,145,66,32,0.122,mm,kg
883484717172,Sure Unscented Deodorant,883484717172,136,56,33,0.114,mm,kg
031604026578,Nature Made Fish Oil,031604026578,172,87,86,0.426,mm,kg
100000000017,Assurance Extra Large Washcloths,100000000017,237,173,56,0.510,mm,kg
037000754152,Aqua Pure Wipes,037000754152,255,144,102,0.962,mm,kg
681131183956,Equate Allergy Relief,681131183956,83,43,41,0.046,mm,kg
041388097091,Stridex Pads,041388097091,102,77,76,0.338,mm,kg
043000059531,Crystal Light Sweet Tea,043000059531,150,69,62,0.070,mm,kg
757037513552,OxiClean MaxFord,757037513552,191,48,47,0.234,mm,kg
028400055093,Lay's Stax,028400055093,230,82,80,0.214,mm,kg
686081090187,Tub O' Towels Wipes,686081090187,217,95,60,0.246,mm,kg
070612108654,ArmorAll Wipes,070612108654,215,83,83,0.210,mm,kg
769678294875,Pioneer Woman Fabric Cut,769678294875,178,115,30,0.176,mm,kg
750845725810,Canon BCI-3eY Ink Tank,750845725810,146,79,35,0.046,mm,kg
065030821728,StarTech Power Cable,065030821728,209,127,16,0.034,mm,kg
X003RDEDAB,USB Flash Drive Bag,X003RDEDAB,114,73,16,0.034,mm,kg
100000000018,Parts-Quick/Eplida 4GB RAM,100000000018,177,104,11,0.046,mm,kg
072782053604,Avery Address Labels,072782053604,294,230,24,1.106,mm,kg
100000000019,Pedigree DentaStix,100000000019,249,240,75,0.822,mm,kg
041388220314,Blistex Mint Balm,041388220314,118,78,22,0.030,mm,kg
8935236000031,Colgate Premier Clean Toothbrush,8935236000031,265,31,29,0.030,mm,kg
X001GODQA1,Flavor Mate No Salt Seasoning 5 pk,X001GODQA1,173,168,85,0.522,mm,kg
070501047514,Rapid Clear Treatment Pads 3 pk,070501047514,223,75,70,0.438,mm,kg
100000000020,Shower Scrub With String,100000000020,148,132,116,0.056,mm,kg
609332817944,e.l.f Lip Stick,609332817944,119,24,23,0.038,mm,kg
850003339177,FLEX GLUE Clear,850003339177,199,42,38,0.140,mm,kg
609332816879,e.l.f CoralCutie Lip Stain 2-bag,609332816879,144,75,25,0.050,mm,kg
609332816831,e.l.f SpiceySienna Lip Stain 2-bag,609332816831,143,77,25,0.050,mm,kg
085317008673,Miconazole Cream,085317008673,151,88,28,0.044,mm,kg
3299060368831,RainBird Sprinkler,3299060368831,189,65,62,0.268,mm,kg
011111614246,Dove Soap,011111614246,88,60,38,0.098,mm,kg
9780374360979,Pout-Pout Fish Book,9780374360979,165,165,21,0.272,mm,kg
323900003613,Vicks VapoRub,323900003613,59,59,59,0.078,mm,kg
100000000021,Maskiss Gold Eye Mask,100000000021,118,116,18,0.034,mm,kg
018214822943,Bacon Flavor Power Puppy Chew,018214822943,146,145,37,0.098,mm,kg
100000000022,R2D2ProtoType,100000000022,119,117,20,0.049,mm,kg
086800160069,Neutrogena CC Cream,086800160069,113,45,21,0.042,mm,kg
193175482983,Multi-Color Electrical Tape,193175482983,78,54,54,0.132,mm,kg
039564014840,PT Clear Funnel,039564014840,325,119,109,0.054,mm,kg
883929686728,Friends Season 4,883929686728,193,138,20,0.146,mm,kg
X003WFUHWR,Hispeka Women's Beanie Hat,X003WFUHWR,397,294,33,0.290,mm,kg
X003WSMUUB,Hispeka Men's Beanie Hat,X003WSMUUB,397,294,33,0.290,mm,kg
041520151407,Smart Living Soft White Led 4 Bulbs,041520151407,178,132,64,0.178,mm,kg
490440614446,One Size Navy Hat,490440614446,287,171,73,0.076,mm,kg
843161100161,Better Homes Wooden Bowl,843161100161,299,299,109,1.182,mm,kg
043168988773,GE Reveal LED Pure Clean Light 2 Bulbs 9w,043168988773,128,125,63,0.096,mm,kg
043168918404,GE Crystal Clear 12 Year Life 40w,043168918404,176,107,56,0.36,mm,kg
LPNRREC6468130,Dollhouse Jean Jacket,LPNRREC6468130,310,297,53,0.415,mm,kg
039800011329,AA 4 Pack Batteries,039800011329,111,92,16,0.102,mm,kg
